"","bc_vip_c1"
"Propionic acid",0.4333465843263
"Pyruvate",0.018618594452579
"Oxalate",0.267490043948877
"Phenol",0.797072074447144
"p-Cresol",0.368780196209166
"Pyrocatechol",1.19829294178684
"Uracil",0.55561607606256
"Succinate",0.6491785770402
"Nicotinate",0.865284229618681
"Taurine",0.256589374877914
"N-Acetyl-L-alanine",0.257202888290127
"Pyruvaldehyde",0.313383346414875
"Salicylamide",0.270286535459486
"Tyramine",0.197049317726352
"Salicylic acid",0.361938798996788
"Thymine",1.50325972572748
"p-Hydroxycinnamaldehyde",0.0752164958058071
"Sarcosine",0.931784330623293
"Tartaric acid",0.940907628038234
"Xanthine",0.102272776735293
"Penicillic Acid",0.620274341204268
"p-Hydroxyphenylacetic acid",0.779056766283377
"Ribitol",0.168555229619176
"Propylene glycol",6.63659804349387
"Oxypurinol",1.3591256693548
"Urocanic acid",0.689819201976618
"Pelargonic acid",0.145233311033435
"Pimelic acid",0.0282097506600717
"Phenylpyruvate",0.112522356208133
"O-Acetyl-L-serine",1.48886111060338
"Vanylglycol",0.690001819771837
"Uric acid",0.0788904581299111
"Vanillic acid",0.0968164841377219
"N-Acetyl-beta-alanine",0.194958678403402
"Vanillin",1.87076623369422
"Suberic acid",0.483572442404355
"N-Acetylaspartate",0.102095833671931
"Succinylacetone",1.24777159714167
"N-Carboxyethyl-.gamma.-aminobutyric acid",0.0894062880630225
"Zingerone",0.164576501501687
"N-Formylmethionine",3.94004054151605
"Theophylline",1.81247053662902
"Nicotinuric acid",1.06231179806204
"Nicotinamide",0.881470746641358
"Quinolinate",0.171969370228686
"Pyridoxal Vitamin B6",0.841279437333978
"N-Acetyl-L-glutamate",0.865453632294422
"Quinate",1.45293861784188
"Sedoheptulose",0.675156977438446
"Scytalone",1.07894023236776
"Salicyluric acid",0.579962530707284
"Xanthopterin",0.973716218376361
"N-Acetyl-L-aspartic acid",0.755598503768617
"N-Acetyl-L-Histidine",0.745932917557522
"Theobromine",1.33399271182337
"Saccharin",0.904241205226587
"Phenacemide",1.27978155185068
"Sebacic acid",1.28643478982436
"N-Acetylmannosamine",0.146320782857894
"Xanthurenic acid",0.604392991787106
"Pantothenol",0.422761358299168
"N-Acetyl-L-phenylalanine",0.808836761983987
"Phosphocreatine",0.172889391831829
"sn-Glycerol 3-phosphoethanolamine",0.0589344076788395
"O-Succinyl-L-homoserine",0.602231804932372
"Pantothenate",0.215357962665299
"Primidone",0.785471725371798
"O-Phospho-L-threonine",1.24764137791254
"Stavudine",2.11472928887694
"Traumatic Acid",1.21269048804057
"Phenylpropionylglycine",0.67734912987417
"Tetrahydrobiopterin",0.850610913329572
"N-Acetyl-D-glucosamine",1.49240070500796
"Phosphorylcholine",0.112235914613878
"Pseudouridine",0.627281265939086
"Ribulose 5-phosphate",1.4753046449158
"Pyridoxamine 5'-phosphate",0.805635710865602
"Suberylglycine",0.176135122623441
"N-Acetyl-DL-methionine",0.437434998485348
"Pectin Galacturonic acid",0.834100935824161
"Palmitic acid",0.511540276977608
"Salsalate",0.0881295491719371
"Thymidine",0.620905500575242
"Propionylglycine",0.695876098649697
"Pinosylvin",0.080710707089364
"Perseitol",0.326070286367873
"Tridecanoic acid Tridecylic acid",1.08011272526337
"Ribothymidine",1.05662729038511
"Pantetheine",1.46789678540096
"Oleic acid",1.04585210612243
"Xanthosine",0.74887249880588
"Stearic acid",0.909173624939525
"Pentobarbital",0.0329517324635177
"Photinus luciferin",0.425267249890092
"Sepiapterin",0.146067641839376
"Nitrofurantoin",0.0705596187846106
"Nname,cis-9,10-Epoxystearic acid",0.681460077241163
"N-Acetylglucosamine 1-phosphate",0.0239293451223546
"Salidroside",0.455155270291755
"N-Acetyl-D-Glucosamine 6-Phosphate",0.159332194136154
"Oxazepam",0.202997829942082
"N-Acetylaspartylglutamate NAAG",0.392855582293225
"Xylitol",0.491689968582856
"Pyridoxal 5'-phosphate",0.327408033602375
"N-Acetylneuraminic acid",0.559671060305162
"Prunasin",0.102607161664164
"Picrotoxinin",0.530548797359917
"Sulfaphenazole",0.208722827693184
"S-Methyl-5'-thioadenosine",0.270587806255401
"Nicotinate D-ribonucleotide",0.762073623263953
"Nilutamide",0.416283537704897
"Temazepam",0.0360685142119429
"p-Hydroxyphenylbutazone",0.498131773556364
"S-Nitroso-L-glutathione",1.3268150666966
"Sulfamethoxypyridazine",0.0253617696866837
"Norethindrone Acetate",0.0231962037871158
"Sucrose",0.842604791873756
"Sinigrin",0.189484075408448
"Uridine 5'-monophosphate UMP",0.877767117292362
"Sulpiride",0.152784888525963
"Perindopril",1.06815781975234
"Rosiglitazone",0.72595220595367
"Thiamine monophosphate",0.193334169267668
"Phenylacetylglycine",1.14522714798281
"Nafcillin",0.894116192561064
"pregnenolone sulfate",0.0217736810732446
"PGE3",0.959468673292083
"Pravastatin",0.210189436668851
"N-Formylmethionyl-Leucylphenylalanine",0.31949678505243
"Vindoline",0.189693871551161
"Troglitazone",0.76908659962262
"Tamsulosin",1.25467758602813
"Taurolithocholic acid",1.16098627079359
"Nomilin",0.964767740171691
"Parthenolide",0.342009267474752
"Taurochenodeoxycholate",0.463313710608053
"Sildenafil",0.328891912535118
"Taurocholate",0.250397457794704
"Raffinose",0.950893999120034
"Phenethyl Caffeiate",0.519851989238356
"Naringin",0.311041785138437
"Stachyose",0.830654226773587
