"sample","order","class","batch"
"QC01",1,"NA",1
"B17",2,"b",1
"D10",3,"d",1
"A13",4,"a",1
"D18",5,"d",1
"B14",6,"b",1
"C07",7,"c",1
"B06",8,"b",1
"B04",9,"b",1
"QC02",10,"NA",1
"D08",11,"d",1
"C11",12,"c",1
"C15",13,"c",1
"B08",14,"b",1
"A08",15,"a",1
"D05",16,"d",1
"D13",17,"d",1
"A09",18,"a",1
"QC03",19,"NA",1
"D03",20,"d",1
"D12",21,"d",1
"A15",22,"a",1
"B10",23,"b",1
"C14",24,"c",1
"C02",25,"c",1
"A01",26,"a",1
"B18",27,"b",1
"QC04",28,"NA",1
"C12",29,"c",1
"B07",30,"b",1
"C04",31,"c",1
"C17",32,"c",1
"C01",33,"c",1
"D14",34,"d",1
"A16",35,"a",1
"C13",36,"c",1
"QC05",37,"NA",1
"C03",38,"c",1
"A05",39,"a",1
"A03",40,"a",1
"D04",41,"d",1
"C09",42,"c",1
"B15",43,"b",1
"D16",44,"d",1
"A07",45,"a",1
"QC06",46,"NA",1
"D15",47,"d",1
"C10",48,"c",1
"A17",49,"a",1
"D07",50,"d",1
"B03",51,"b",1
"C18",52,"c",1
"B05",53,"b",1
"A04",54,"a",1
"QC07",55,"NA",1
"A18",56,"a",1
"D09",57,"d",1
"D02",58,"d",1
"C05",59,"c",1
"C16",60,"c",1
"D11",61,"d",1
"D01",62,"d",1
"A06",63,"a",1
"QC08",64,"NA",1
"A14",65,"a",1
"B02",66,"b",1
"A10",67,"a",1
"B01",68,"b",1
"D17",69,"d",1
"B09",70,"b",1
"A02",71,"a",1
"B13",72,"b",1
"QC09",73,"NA",1
"C08",74,"c",1
"D06",75,"d",1
"B16",76,"b",1
"C06",77,"c",1
"QC10",78,"NA",1
