sample,batch,class,order
QC01,1,0,1
B17,1,2,2
D10,1,4,3
A13,1,1,4
D18,1,4,5
B14,1,2,6
C07,1,3,7
B06,1,2,8
B04,1,2,9
QC02,1,0,10
D08,1,4,11
C11,1,3,12
C15,1,3,13
B08,1,2,14
A08,1,1,15
D05,1,4,16
D13,1,4,17
A09,1,1,18
QC03,1,0,19
D03,1,4,20
D12,1,4,21
A15,1,1,22
B10,1,2,23
C14,1,3,24
C02,1,3,25
A01,1,1,26
B18,1,2,27
QC04,1,0,28
C12,1,3,29
B07,1,2,30
C04,1,3,31
C17,1,3,32
C01,1,3,33
D14,1,4,34
A16,1,1,35
C13,1,3,36
QC05,1,0,37
C03,1,3,38
A05,1,1,39
A03,1,1,40
D04,1,4,41
C09,1,3,42
B15,1,2,43
D16,1,4,44
A07,1,1,45
QC06,1,0,46
D15,1,4,47
C10,1,3,48
A17,1,1,49
D07,1,4,50
B03,1,2,51
C18,1,3,52
B05,1,2,53
A04,1,1,54
QC07,1,0,55
A18,1,1,56
D09,1,4,57
D02,1,4,58
C05,1,3,59
C16,1,3,60
D11,1,4,61
D01,1,4,62
A06,1,1,63
QC08,1,0,64
A14,1,1,65
B02,1,2,66
A10,1,1,67
B01,1,2,68
D17,1,4,69
B09,1,2,70
A02,1,1,71
B13,1,2,72
QC09,1,0,73
C08,1,3,74
D06,1,4,75
B16,1,2,76
C06,1,3,77
QC10,1,0,78
